fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,año,mes,dia_semana,dia_semana_es,dia_mes,nombre_dia_semana,es_fin_de_semana,es_festivo,es_black_friday,es_cyber_monday,es_laborable,semana_año,dia_año,es_primer_dia_mes,es_ultimo_dia_mes,trimestre,es_primer_quincena,es_víspera_festivo,es_post_festivo,unidades_vendidas_lag1,unidades_vendidas_lag2,unidades_vendidas_lag3,unidades_vendidas_lag4,unidades_vendidas_lag5,unidades_vendidas_lag6,unidades_vendidas_lag7,unidades_vendidas_mm7,precio_competencia,ratio_precio,nombre_h_Adidas Own The Run Jacket,nombre_h_Adidas Ultraboost 23,nombre_h_Asics Gel Nimbus 25,nombre_h_Bowflex SelectTech 552,nombre_h_Columbia Silver Ridge,nombre_h_Decathlon Bandas Elásticas Set,nombre_h_Domyos BM900,nombre_h_Domyos Kit Mancuernas 20kg,nombre_h_Gaiam Premium Yoga Block,nombre_h_Liforme Yoga Pad,nombre_h_Lotuscrafts Yoga Bolster,nombre_h_Manduka PRO Yoga Mat,nombre_h_Merrell Moab 2 GTX,nombre_h_New Balance Fresh Foam X 1080v12,nombre_h_Nike Air Zoom Pegasus 40,nombre_h_Nike Dri-FIT Miler,nombre_h_Puma Velocity Nitro 2,nombre_h_Quechua MH500,nombre_h_Reebok Floatride Energy 5,nombre_h_Reebok Professional Deck,nombre_h_Salomon Speedcross 5 GTX,nombre_h_Sveltus Kettlebell 12kg,nombre_h_The North Face Borealis,nombre_h_Trek Marlin 7,categoria_h_Fitness,categoria_h_Outdoor,categoria_h_Running,categoria_h_Wellness,subcategoria_h_Banco Gimnasio,subcategoria_h_Bandas Elásticas,subcategoria_h_Bicicleta Montaña,subcategoria_h_Bloque Yoga,subcategoria_h_Cojín Yoga,subcategoria_h_Esterilla Fitness,subcategoria_h_Esterilla Yoga,subcategoria_h_Mancuernas Ajustables,subcategoria_h_Mochila Trekking,subcategoria_h_Pesa Rusa,subcategoria_h_Pesas Casa,subcategoria_h_Rodillera Yoga,subcategoria_h_Ropa Montaña,subcategoria_h_Ropa Running,subcategoria_h_Zapatillas Running,subcategoria_h_Zapatillas Trail
2021-10-25,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,66.6,133.2,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,2.0,2.0,2.0,2.0,10.0,6.0,3.142857142857143,64.34666666666666,1.0350186489846664,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-10-25,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,392.31,784.62,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,350.8500000000001,1.1181701581872592,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2021-10-25,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,174.92,349.84,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,160.15666666666664,1.0921805731887528,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-10-25,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,44.32,132.96,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143,44.56333333333333,0.9945396065524722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2021-10-25,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,55.05,165.15,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2857142857142856,53.24666666666667,1.0338675347439588,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2021-10-25,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2,24.79,49.58,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.2857142857142856,24.096666666666664,1.0287729976483608,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-10-25,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,2,39.74,79.48,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.2857142857142856,39.46,1.0070957932083122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-10-25,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,154.22,462.66,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.4285714285714284,135.67333333333332,1.1367008992187118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-10-25,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,2,821.29,1642.58,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.4285714285714284,735.07,1.1172949515012174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-10-25,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1,96.56,96.56,2021,10,0,Lunes,25,Lunes,False,False,False,False,True,43,298,False,False,4,False,False,False,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.2857142857142856,92.63666666666667,1.0423518405239105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
